nombre,explicacion_real,explicacion_predicha,tipo_error,Modelo
Circular N° 35 del 30 de Abril del 2025,Contiene Artículo 68 del Código Tributario | Contiene 'inicio de actividades',"La información es relevante porque describe las diferentes formas de notificación que debe realizar el servicio, los plazos correspondientes y las consecuencias de no cumplir con las normas establecidas.",Falso Positivo,deepseek-r1_knn1
Circular N° 31 del 17 de Abril del 2025,No se encontraron reglas de negocio,"El documento trata sobre regulaciones legales relacionadas con la impuestos en México, específicamente sobre cómo sancionar a los contribuyentes que cometaan abusos o simulaciones en el pago de impuestos. Esto es relevante para asegurar la justicia y la iusoria en el sistema tributario, prevenir manipulaciones del sistema y garantizar que las personas y empresas sean sometidas a sanciones adecuadas cuando cometan actos ileales.",Falso Positivo,deepseek-r1_knn1
Resolución Exenta SII N° 58 del 06 de Mayo del 2025,No se encontraron reglas de negocio,"La nueva normativa se centra en los parámetros de cooperación efectiva durante el proceso de recopilación de antecedentes para la collection de impuestos, lo cual directly afecta la 'cumplimiento tributario'. Aunque no aborda todos los temas específicos como comprobante electrónico o registro de compra, su relevancia está en cómo regulan las condiciones bajo las cuales la cooperación se considera efectiva, lo cual puede influir en los sistemas de compliance automatizado de una fintech al asegurar que sus procesos cumplan con las normas establecidas por el gobierno.",Falso Positivo,deepseek-r1_knn1
Resolución Exenta SII N° 41 del 03 de Abril del 2025,No se encontraron reglas de negocio,"La nueva normativa se centra en los procedimientos de fiscalización y la aplicación de impuestos durante importaciones y exportaciones, lo cual es directly relevant para una fintech que gestiona transacciones internacionales. Aunque no se centra directamente en los sistemas de cumplimiento automatizado, los cambios afectan procesos legales que son parte del operativo de una empresa que utiliza sistemas de compliance automático, especialmente relacionados con la fiscalización y el manejo de documentos electrónicos.",Falso Positivo,deepseek-r1_knn1
Circular N° 4 del 09 de Enero del 2025,No se encontraron reglas de negocio,"El nuevo normativo se centra en la determinación de tasas de customs duty para productos importados del China, lo cual directly afecta el cálculo de declaraciones de customs. Como resultado, es relevante para el proceso de declaración de customs ya que implica calcular las tasas específicas basadas en grupos de productos y cantidades, lo cual es esencial para la compliance y la cálida de la declaración.",Falso Positivo,deepseek-r1_knn1
Resolución Exenta SII N° 75 del 26 de Junio del 2025,No se encontraron reglas de negocio,"El documento aborda temas directamente relacionados con la aplicación de intereses moratorios en el contexto de los impuestos, incluyendo cómo determinar tasas de interés, cómo se aplican las tasas al liquidar deudas con plazos de vencimiento anteriores a ciertos periodos, y cómo se distribuyen los intereses. Además, se mencionan procesos para determinar la relevantidad de las deudas y la pubilicación en diarios oficiales, lo cual es fundamental para garantizar transparencia y claridad legal.",Falso Positivo,deepseek-r1_knn1
Resolución Exenta SII N° 42 del 03 de Abril del 2025,Contiene Artículo 68 del Código Tributario | Contiene 'inicio de actividades',"La creación de una Gregory's Linea de crédito en Chile con una tarjeta global y una localizada podría ser relevante para empiricals que buscan expandir su operations a Chile, ofreciendo una solución sencilla y eficiente para gestionar créditos a nivel nacional. Sin embargo, el uso intensivo de una base de datos global con autenticación multi-vendor podría implicar problemas de control de riesgos y trazos, lo cual podría generary insidiosos costos adicionales para las empresas que utilicen este servicio.",Falso Positivo,deepseek-r1_knn1
Circular N° 13 del 07 de Febrero del 2025,No se encontraron reglas de negocio,"La nueva normativa se centra en instrucciones sobre el artículo 100 sexies del Código Tributario, incorporado por la Ley N° 21.713, que afecta el proceso de autodenuncia y la rectificación de declaraciones de impuestos. Esto es directamente relevante para el sistema de cumplimiento tributario automatizado, ya que maneja procesos específicos de declaración, rectificación y pagos, los cuales son esenciales para la operación efectiva de una fintech.",Falso Positivo,deepseek-r1_knn1
Resolución Exenta SII N° 04 del 09 de Enero del 2025,No se encontraron reglas de negocio,"La nueva normativa se centra en el término de suspension de actividades según las condiciones del código tributario, lo cual afecta a los operadores y administradores. También menciona la declaración de casos a través de una página web, lo que relaciona con procesos automatizados necesarios para la compliance de la finanzas.",Falso Positivo,deepseek-r1_knn1
Resolución Exenta SII N° 11 del 17 de Enero del 2025,Contiene 'inicio de actividades',"La nueva normativa se centra en el cambio del sujeto de derecho del IVA para las exportaciones de berries, lo cual afecta cómo se calcula y se restringe el impuesto. Esto es directly relevant para el sistema ya que involucra ajustes en la application de tributes y la compliance con procesos legales, lo que requiere actualización en la gestión de declaraciones y recogidas fiscales.",Falso Positivo,deepseek-r1_knn1
Resolución Exenta SII N° 03 del 07 de Enero del 2025,No se encontraron reglas de negocio,"La nueva normativa se centra en la autorización de organizaciones públicas como receptores electrónicos de documentos tributarios, actualizando y refiniendo los procedimientos establecidos. Esto directly afecta el cumplimiento automatizado de procesos legales en el contexto de una fintech, ya que involucra la operación efectiva de sistemas relacionados con los boletas, comprobante electrónicos y la gestión de actividades tributarias.",Falso Positivo,deepseek-r1_knn1
Resolución Exenta SII N° 05 del 09 de Enero del 2025,No se encontraron reglas de negocio,"La nueva normativa se centra en la reportación automática de abonos recibidos, lo cual es crítico para un sistema de cumplimiento tributario. Esto afecta directamente las operaciones deчет, la gestión de transacciones y la sostenibilidad financiera del Fintech, necesitando una integración robusta en el sistema para manejar y informar de manera automática los abonos according to the thresholds and forms specified.",Falso Positivo,deepseek-r1_knn1
Resolución Exenta SII N° 67 del 12 de Junio del 2025,No se encontraron reglas de negocio,"La nueva normativa se centra en la implementación de mecanismos para garantizar el cumplimiento del deber de reserva tributario, lo cual es directly relevante al sistema de cumplimiento automatizado de una fintech. Trata sobre la extension de las obligaciones de reserva a functionarios externos y los procedimientos para denunciar y resolver violaciones, lo que afecta directamente al operador de la empresa y sus sistemas de control de flujo tributario.",Falso Positivo,deepseek-r1_knn1
Resolución Exenta SII N° 20 del 20 de Febrero del 2025,Contiene 'boletas electrónicas',"La nueva normativa se centra en la emisión de boletas de servicios de ingreso a espectáculos públicos, lo cual claramente afecta el proceso de emisión de documentos legales y, por ende, el cumplimiento tributario. Esto direcly implica procesos relacionados con los sistemas de cumplimiento normativo automatizado, especialmente en el contexto de la emisión de boletas, un tema definido en los requisitos del sistema.",Falso Positivo,deepseek-r1_knn1
Circular N° 25 del 03 de Abril del 2025,Contiene 'cumplimiento tributario',"El documento aborda temas legales y fiscales relevantes, como la modificación de normas sobre impuesto territorial, reavaluaciones de bienes raíces, cálculos de impuestos y ajustes suaves. Estos aspectos son relevantes para una empresa que opere en Chile, ya que afectan la imposición de impuestos, la evaluación de bienes raíces y la planificación financiera. Sin embargo, los detalles técnicos sobre planificación territorial no están directamente relacionados con las decisiones operativas de una empresa, por lo que su relevancia está limitada a la extentión legal del servicio de impuestos.",Falso Positivo,deepseek-r1_knn1
Circular N° 37 del 30 de Abril del 2025,Contiene Artículo 68 del Código Tributario,"Los procesos descritos en el documento son legales y transparentes, ya que establecen pasos claros para la actuación de los contribuyentes y representantes digitales, incluyendo la necesidad de autorización y la ratificación de mandatos. No se menciona la violación de privacidad ni la manipulación de información confidencial, lo que sugiere que estos procesos son legales y transparentes.",Falso Positivo,deepseek-r1_knn1
Resolución Exenta SII N° 26 del 24 de Febrero del 2025,Contiene 'boletas electrónicas',"La nueva normativa se centra en la emisión de boletas de servicios, lo cual está directamente relacionado con los temas de ""boletas"" y ""comprobante electrónicos"". Además, aborda procedimientos específicos para la emisión de boletas, lo que afecta el cumplimiento automatizado del sistema de la fintech.",Falso Positivo,deepseek-r1_knn1
Resolución Exenta SII N° 22 del 21 de Febrero del 2025,No se encontraron reglas de negocio,"La nueva normativa se centra en el uso de medios electrónicos para la fiscalización y procesamiento de tareas tributarias, lo cual está directamente relacionado con los temas de electronicos, procesos de fiscalización y cumplimiento tributario.",Falso Positivo,deepseek-r1_knn1
Resolución Exenta SII N° 53 del 29 de Abril del 2025,Contiene 'boletas electrónicas',"La nueva normativa se centra en la obligación de entregar representaciones impresas o virtuales de documentos tributarios como boletas y comprobante de pago, lo cual afecta directamente al sistema de cumplimiento normativo automatizado, ya que establece procesos para la emisión y entrega de dichos documentos.",Falso Positivo,deepseek-r1_knn1
Resolución Exenta SII N° 60 del 07 de Mayo del 2025,No se encontraron reglas de negocio,"La nueva normativa autoriza a organismos públicos como receptores de documentos tributarios electrónicos, lo cual es directamente relevante para el sistema de cumplimiento automatizado de una fintech que procesa tributes.",Falso Positivo,deepseek-r1_knn1
Circular N° 21 del 10 de Marzo del 2025,No se encontraron reglas de negocio,"La nueva normativa se centra en ajustes del impuesto de April (Iusc) y correcciones monetarias en Chile, afectando tributes como el Iusc sobre drivers de taxis, trabajadores agrícolas y Empleado dependiente. Como impacta directamente en la aplicación de impuestos legales, es relevante para el sistema de cumplimiento tributario automatizado de una fintech que maneje a tales grupos.",Falso Positivo,deepseek-r1_knn1
Circular N° 23 del 27 de Marzo del 2025,Contiene 'donaciones',"El nuevo inciso 64 del código tributario introduce normas claras sobre cómo se aplican las tributes en relation con reorganizaciones empresariales, facilitando la transparencia y la claridad para los contribuyentes. Esto es relevante porque define los límites de la facultad de tasación y las condiciones necesarias para evitar interferencias tributarias.",Falso Positivo,deepseek-r1_knn1
Resolución Exenta SII N° 65 del 29 de Mayo del 2025,No se encontraron reglas de negocio,"El nuevo normativo se centra en el estandar CRS (Common Reporting Standard), que relaciona con la intercambio automático de información financiera, un aspecto crítico para sistemas de reporting automático en fintech. Esto afecta la gestión y reporte automático de datos financieros, directly relacionado con la normativa del sistema.",Falso Positivo,deepseek-r1_knn1
Resolución Exenta SII N° 66 del 11 de Junio del 2025,No se encontraron reglas de negocio,"La normativa se centra en la autorización de organizaciones públicas para recibir documentos tributarios electrónicos, lo cual afecta procesos de cobro y emisión electronicos, directamente relacionados con los temas de **boletas** y **comprobante electrónico**, así como el manejo de documentos tributarios en sistemas automatizados.",Falso Positivo,deepseek-r1_knn1
Circular N° 11 del 30 de Enero del 2025,No se encontraron reglas de negocio,"El texto extiende las definiciones y metidades legales relacionadas con la impositividad a la renta, afectando a los contribuyentes en Chile y determinando cómo se computan los impuestos en caso de relaciones con entidades extranjeras o del exterior.",Falso Positivo,deepseek-r1_knn1
Circular N° 9 del 30 de Enero del 2025,No se encontraron reglas de negocio,"La nueva normativa se centra en el sistema de corrección monetaria, afectando el cálculo del impuesto a la renta, lo cual está directamente relacionado con el proceso de cumplimiento tributario. Incluye ajustes en los saldos de los registros empresariales y tablas del impuesto global complementario, lo que lo hace relevante para el sistema de cumplimiento tributario automatizado.",Falso Positivo,deepseek-r1_knn1
Resolución Exenta SII N° 83 del 03 de Julio del 2025,No se encontraron reglas de negocio,"La nueva normativa autoriza a organismos públicos como receptores de documentos tributarios electrónicos, lo cual es directamente relevante para el sistema de cumplimiento automatizado de una fintech ya que afecta la operación y la aceptación de documentos tributarios en formato electrónico.",Falso Positivo,deepseek-r1_knn1
Circular N° 7 del 16 de Enero del 2025,No se encontraron reglas de negocio,"El documento establece sanciones para contribuyentes que no entregan información bancaria o declaraciones tributarias, lo cual fomenta la transparencia y la correcta declaración de impuestos, es fundamental para el funcionamiento del sistema tributario.",Falso Positivo,deepseek-r1_knn1
Resolución Exenta SII N° 47 del 10 de Abril del 2025,Contiene 'inicio de actividades',"El documento establece protocolos para el intercambio de información entre las instituciones, lo cual es relevante para garantizar la transparencia y la comunicación. Sin embargo, algunos detalles técnicos como la ausencia de transparencia total en los procesos de autenticación y la presencia de secretos confidenciales podrían generar incertidumbres y peligros para la privacidad de los datos.",Falso Positivo,deepseek-r1_knn1
Resolución Exenta SII N° 48 del 17 de Abril del 2025,No se encontraron reglas de negocio,El addendum al convenio entre la subsecretaría de transporte y el servicio de impuestos internos es relevante porque:,Falso Positivo,deepseek-r1_knn1
Resolución Exenta SII N° 27 del 04 de Marzo del 2025,No se encontraron reglas de negocio,"La información proporcionada incluye detalles técnicos de varios modelos de coches, marcas específicas y algunos detalles sobre la potencia, transmisión, tracción y país de origen. Aunque no se specify el propósito específico del usuario, la relevancia está basada en la posibilidad de que esta data sea útil para alguien que busque información técnica o comparar coches.",Falso Positivo,deepseek-r1_knn1
Resolución Exenta SII N° 70 del 19 de Junio del 2025,No se encontraron reglas de negocio,"La nueva regla establece normas claras para inscribirse en el registro de empresas certificadoras independientes, incluyendo información personal, documentos y procesos de certificación. Aunque hay algunos puntos que requieren más detenimiento, como títulos académicos extranjeros o conflictos de interés, las normas generales son relevantes para garantizar la integridad y transparencia en el proceso.",Falso Positivo,deepseek-r1_knn1
Resolución Exenta SII N° 21 del 21 de Febrero del 2025,Contiene Artículo 68 del Código Tributario | Contiene 'cumplimiento tributario' | Contiene 'inicio de actividades',"La nueva normativa se centra en el designación del apoderado de grupo empresarial y sus procedimientos para informar al servicio, lo cual no directly afecta los temas relacionados con el cumplimiento tributario automatizado de una fintech.",Falso Negativo,deepseek-r1_knn1
Circular N° 33 del 17 de Abril del 2025,Contiene Artículo 68 del Código Tributario | Contiene 'comercio electrónico' | Contiene 'inicio de actividades' | Contiene 'donaciones',"Las regulaciones del código tributario se centran en prevenir fraudes, defraudar al fisco y evitar la declaración de actividades ilegales. Mientras que algunas secciones son relevantes para proteger a la administración tributaria y prevenir malintenciones, otras no están directamente relacionadas con los aspectos operativos de una empresa o business, lo que las hace menores en relevancia al contexto de un negocio.",Falso Negativo,deepseek-r1_knn1
Circular N° 6 del 16 de Enero del 2025,No se encontraron reglas de negocio,"La Circular N° 6 del 16 de Enero del 2025 imparte instrucciones sobre modificaciones al Código Tributario que afectan directamente el cumplimiento tributario, incluyendo la definición y certificación de ""sostenibilidad tributaria"", la creación de registros públicos de empresas certificadoras y transparencia tributaria, y procedimientos de fiscalización unificados para grupos empresariales. Estas materias inciden en los procesos de cumplimiento tributario automatizado de una fintech, ya que pueden requerir adaptaciones en los sistemas para la gestión de certificaciones, registros y procedimientos de fiscalización electrónica, todos temas incluidos en los criterios de relevancia definidos.",Falso Positivo,gpt4_1_knn1
Resolución Exenta SII N° 71 del 19 de Junio del 2025,Contiene 'cumplimiento tributario',"La resolución regula procedimientos y requisitos para la certificación anual de sostenibilidad tributaria, exigiendo la implementación y documentación de sistemas de cumplimiento tributario, gobernanza fiscal, control fiscal y matrices de riesgo, así como la trazabilidad y evidencia de cumplimiento tributario. Estos aspectos inciden directamente en los procesos de cumplimiento tributario automatizado de una fintech, ya que afectan la forma en que se documentan, controlan y reportan las obligaciones tributarias, lo que es parte central de los sistemas de cumplimiento normativo automatizado.",Falso Positivo,gpt4_1_knn1
Resolución Exenta SII N° 69 del 19 de Junio del 2025,Contiene 'inicio de actividades',"La normativa instruye a los bancos comerciales sobre la obligación de exigir y verificar el inicio de actividades de personas jurídicas o entidades empresariales al tramitar operaciones de crédito, préstamo u otras operaciones patrimoniales, y establece la forma de informar dicha información al SII. El ""inicio de actividades"" es uno de los temas definidos como relevantes, ya que afecta directamente los procesos de cumplimiento tributario automatizado de la fintech en relación con la validación y reporte de operaciones de clientes empresariales.",Falso Positivo,gpt4_1_knn1
Resolución Exenta SII N° 72 del 19 de Junio del 2025,Contiene 'cumplimiento tributario',"La resolución regula de manera general y explícita el ""cumplimiento tributario"", estableciendo procedimientos, estándares y planes de cumplimiento tributario para grupos empresariales, incluyendo la implementación de sistemas de gobernanza fiscal y marcos de control fiscal. Estos elementos son centrales para los sistemas de cumplimiento normativo automatizado de una fintech, ya que afectan directamente la forma en que se gestionan y reportan las obligaciones tributarias, la trazabilidad de la información y la interacción con el SII. La normativa no se limita a procedimientos internos ni a acuerdos individuales, sino que establece un marco general aplicable a múltiples contribuyentes, impactando procesos automatizados de cumplimiento tributario.",Falso Positivo,gpt4_1_knn1
Resolución Exenta SII N° 63 del 22 de Mayo del 2025,No se encontraron reglas de negocio,"La resolución regula el proceso de emisión de facturas de compra electrónicas, la retención y declaración de IVA, y el cumplimiento tributario automatizado en el contexto de un modelo de negocio fintech que involucra medios de pago electrónicos, POS, operadores y administradores, y comercio electrónico. Establece obligaciones específicas para la emisión de comprobantes electrónicos y el registro de operaciones, afectando directamente los sistemas de cumplimiento normativo automatizado de la fintech.",Falso Positivo,gpt4_1_knn1
Resolución Exenta SII N° 42 del 03 de Abril del 2025,Contiene Artículo 68 del Código Tributario | Contiene 'inicio de actividades',"La resolución regula el procedimiento simplificado para la obtención de RUT por parte de contribuyentes no domiciliados ni residentes en Chile, a través de bancas corresponsales (instituciones bancarias o financieras constituidas en Chile). Esto afecta directamente el proceso de inicio de actividades y cumplimiento tributario automatizado para fintechs que operan con clientes extranjeros o a través de bancas corresponsales, así como la gestión de registros y enrolamiento tributario, temas incluidos en las reglas de relevancia.",Falso Positivo,gpt4_1_knn1
Circular N° 13 del 07 de Febrero del 2025,No se encontraron reglas de negocio,"La Circular N° 13 imparte instrucciones sobre un procedimiento de autodenuncia para contribuyentes que detecten diferencias de impuestos que podrían constituir delitos tributarios, estableciendo requisitos y efectos sobre la rectificación de declaraciones de impuestos y el cumplimiento de obligaciones tributarias. Esto impacta directamente en los procesos de cumplimiento tributario automatizado de la fintech, ya que regula cómo deben gestionarse rectificaciones y autodenuncias en caso de errores o diferencias detectadas en declaraciones, lo que es relevante para los sistemas de cumplimiento tributario.",Falso Positivo,gpt4_1_knn1
Resolución Exenta SII N° 11 del 17 de Enero del 2025,Contiene 'inicio de actividades',"La resolución regula la emisión de facturas de compra, la retención y declaración del IVA, y establece obligaciones tributarias específicas para agentes retenedores en la compraventa de berries, incluyendo requisitos sobre documentos tributarios electrónicos y procedimientos de cumplimiento tributario. Estos temas están directamente relacionados con el cumplimiento tributario automatizado, registros de compra y venta, y la emisión de comprobantes electrónicos, por lo que la normativa es relevante para el sistema de la fintech.",Falso Positivo,gpt4_1_knn1
Resolución Exenta SII N° 05 del 09 de Enero del 2025,No se encontraron reglas de negocio,"La normativa establece obligaciones de reporte para entidades financieras respecto a abonos recibidos en cuentas, incluyendo cuentas de provisión de fondos, monederos, billeteras o cuentas virtuales, y operaciones en que el cliente o usuario origen del abono no haya sido identificado. Esto se relaciona directamente con medios de pago electrónicos, cumplimiento tributario, y procesos de registro de operaciones relevantes para sistemas automatizados de una fintech.",Falso Positivo,gpt4_1_knn1
Resolución Exenta SII N° 14 del 30 de Enero del 2025,No se encontraron reglas de negocio,"La resolución regula la emisión de facturas de compra electrónicas, el registro y declaración del IVA retenido, y modifica el proceso de cumplimiento tributario para los agenciados y la empresa de Correos de Chile, afectando directamente procesos automatizados de facturación, retención y declaración de impuestos, todos temas relevantes para sistemas de cumplimiento normativo en una fintech.",Falso Positivo,gpt4_1_knn1
Circular N° 26 del 03 de Abril del 2025,Contiene Artículo 68 del Código Tributario,"La circular regula procedimientos y obligaciones para la inscripción en el Rol Único Tributario (RUT) mediante la carpeta tributaria electrónica, incluyendo procedimientos simplificados y alternativos, así como obligaciones de información y sanciones para instituciones bancarias y financieras que actúan como intermediarios en operaciones financieras, incluyendo corresponsalía bancaria. Esto afecta directamente el cumplimiento tributario automatizado de una fintech, especialmente en lo relativo a inicio de actividades, cumplimiento tributario, operadores y administradores, y medios de pago electrónicos, todos temas expresamente definidos como relevantes.",Falso Positivo,gpt4_1_knn1
Resolución Exenta SII N° 53 del 29 de Abril del 2025,Contiene 'boletas electrónicas',"La normativa instruye sobre la obligación de entregar la representación impresa o virtual de la boleta electrónica y/o comprobante de pago electrónico, regula procedimientos de entrega y visualización de estos documentos, y establece sanciones por incumplimiento. Esto afecta directamente los procesos de cumplimiento tributario automatizado de una fintech, especialmente en lo relativo a boletas, comprobantes electrónicos, medios de pago electrónicos y POS.",Falso Positivo,gpt4_1_knn1
Circular N° 7 del 16 de Enero del 2025,No se encontraron reglas de negocio,"La Circular N° 7 del 16 de Enero del 2025 imparte instrucciones sobre el acceso, requerimiento y entrega de información bancaria por parte del SII en el contexto de fiscalización y verificación del cumplimiento de obligaciones tributarias. Regula procedimientos y sistemas para la entrega de información bancaria, la cual es relevante para el cumplimiento tributario automatizado de una fintech, ya que puede afectar la forma en que se gestionan y resguardan los datos de operaciones bancarias de los usuarios, así como los procesos de respuesta a requerimientos del SII. Además, establece la obligación de mantener registros electrónicos y procedimientos de notificación y respuesta, lo que incide directamente en los sistemas de cumplimiento tributario de la fintech.",Falso Positivo,gpt4_1_knn1
Resolución Exenta SII N° 21 del 21 de Febrero del 2025,Contiene Artículo 68 del Código Tributario | Contiene 'cumplimiento tributario' | Contiene 'inicio de actividades',"La normativa regula el procedimiento de designación de apoderado de grupo empresarial para efectos de coordinación y colaboración con el SII, pero no modifica ni regula directamente procesos relacionados con boletas, comprobantes electrónicos, registros de compra/venta, cumplimiento tributario automatizado, medios de pago electrónicos, POS, operadores, comercio electrónico ni PSP. Se trata de una instrucción sobre representación y comunicación institucional, no sobre procesos operativos o de cumplimiento tributario automatizado relevantes para una fintech.",Falso Negativo,gpt4_1_knn1
Resolución Exenta SII N° 63 del 22 de Mayo del 2025,No se encontraron reglas de negocio,"La normativa establece un cambio en el sujeto pasivo del IVA y regula la emisión de facturas de compra, la retención y declaración del impuesto, aspectos directamente relacionados con el cumplimiento tributario y la emisión de comprobantes electrónicos. Además, involucra un modelo de negocio que opera mediante una plataforma tecnológica para comercios locales, lo que puede afectar procesos automatizados de registro de compra y venta, y cumplimiento tributario en la fintech.",Falso Positivo,gpt4_1_mini_knn1
Resolución Exenta SII N° 42 del 03 de Abril del 2025,Contiene Artículo 68 del Código Tributario | Contiene 'inicio de actividades',"La resolución establece un procedimiento simplificado para la obtención de RUT a través de bancas corresponsales, que son operadores financieros autorizados y regulados, lo cual impacta directamente en el cumplimiento tributario y en la inscripción y registro de contribuyentes no domiciliados ni residentes en Chile. Este procedimiento automatizado afecta procesos tributarios generales relevantes para una fintech, especialmente en la gestión de identificación tributaria y cumplimiento normativo automatizado, vinculándose con operadores y administradores, cumplimiento tributario y medios de pago electrónicos.",Falso Positivo,gpt4_1_mini_knn1
Resolución Exenta SII N° 11 del 17 de Enero del 2025,Contiene 'inicio de actividades',"La resolución establece un cambio en el sujeto de derecho del IVA en las ventas de berries, lo que implica nuevas obligaciones para los agentes retenedores, incluyendo la emisión de facturas de compra con retención de IVA, declaración y pago del impuesto, y la forma en que se deben registrar estas operaciones. Esto afecta directamente el cumplimiento tributario automatizado, la emisión y manejo de comprobantes electrónicos (facturas de compra con retención), y el registro de compra y venta, temas centrales para el sistema de cumplimiento normativo de la fintech.",Falso Positivo,gpt4_1_mini_knn1
Resolución Exenta SII N° 20 del 20 de Febrero del 2025,Contiene 'boletas electrónicas',"La resolución autoriza a una empresa para emitir boletas electrónicas de servicios por cuenta de terceros, específicamente para espectáculos públicos, lo que afecta directamente la emisión de boletas electrónicas y el cumplimiento tributario relacionado. Además, menciona la obligación de emitir boletas en formato electrónico conforme a normativas previas, lo que impacta procesos automatizados de cumplimiento tributario y emisión de comprobantes electrónicos en la fintech.",Falso Positivo,gpt4_1_mini_knn1
Resolución Exenta SII N° 26 del 24 de Febrero del 2025,Contiene 'boletas electrónicas',"La resolución autoriza a una empresa para emitir boletas electrónicas de servicios por cuenta de terceros, específicamente para espectáculos públicos, lo que afecta directamente la emisión de boletas electrónicas y el cumplimiento tributario automatizado. Además, establece condiciones y formatos electrónicos que deben ser considerados en el sistema de cumplimiento normativo de la fintech.",Falso Positivo,gpt4_1_mini_knn1
Circular N° 26 del 03 de Abril del 2025,Contiene Artículo 68 del Código Tributario,"La Circular N° 26 del 03 de Abril del 2025 regula procedimientos simplificados y alternativos para la inscripción en el rol único tributario a través de instituciones bancarias o financieras corresponsales, incluyendo obligaciones de reporte y sanciones relacionadas. Esto afecta directamente el cumplimiento tributario automatizado de fintechs que operan con bancos o instituciones financieras, especialmente en la gestión de identificación tributaria, información para inscripción y reporte de operaciones financieras. Además, involucra procesos vinculados a operadores y administradores financieros, lo que es relevante para sistemas de cumplimiento normativo automatizado en fintechs.",Falso Positivo,gpt4_1_mini_knn1
Resolución Exenta SII N° 18 del 13 de Febrero del 2025,No se encontraron reglas de negocio,"La normativa incorpora un addendum al convenio de intercambio de información entre el SII y el IPS que incluye el envío mensual de información detallada sobre boletas de prestación de servicios de terceros electrónicas (BTE) y boletas de honorarios electrónicas (BHE). Esto afecta directamente el cumplimiento tributario automatizado de la fintech, especialmente en lo relativo a comprobantes electrónicos y registro de ingresos por honorarios, temas contemplados en el ámbito de boletas y cumplimiento tributario.",Falso Positivo,gpt4_1_mini_knn1
Resolución Exenta SII N° 53 del 29 de Abril del 2025,Contiene 'boletas electrónicas',"La resolución establece obligaciones específicas sobre la entrega de la representación impresa o virtual de boletas electrónicas y comprobantes de pago electrónicos, lo cual afecta directamente procesos de emisión, entrega y cumplimiento tributario automatizado en fintechs que operan con medios de pago electrónicos y documentos tributarios electrónicos. Además, regula modalidades de entrega virtual mediante diversos medios tecnológicos, impactando sistemas de cumplimiento normativo automatizado relacionados con boletas, comprobantes electrónicos y medios de pago electrónicos.",Falso Positivo,gpt4_1_mini_knn1
Resolución Exenta SII N° 66 del 11 de Junio del 2025,No se encontraron reglas de negocio,"La normativa autoriza a un organismo público como receptor electrónico de documentos tributarios electrónicos, lo cual afecta directamente el manejo y cumplimiento de comprobantes electrónicos, un tema clave para el sistema de cumplimiento normativo automatizado de la fintech. Además, se relaciona con procesos generales de recepción y validación de documentos tributarios electrónicos, impactando el cumplimiento tributario automatizado.",Falso Positivo,gpt4_1_mini_knn1
Resolución Exenta SII N° 83 del 03 de Julio del 2025,No se encontraron reglas de negocio,"La normativa autoriza a organismos públicos como receptores electrónicos de documentos tributarios electrónicos, lo cual impacta directamente en el manejo y procesamiento automatizado de comprobantes electrónicos, un tema clave para el cumplimiento tributario y la operación de sistemas fintech relacionados con documentos tributarios electrónicos.",Falso Positivo,gpt4_1_mini_knn1
Resolución Exenta SII N° 21 del 21 de Febrero del 2025,Contiene Artículo 68 del Código Tributario | Contiene 'cumplimiento tributario' | Contiene 'inicio de actividades',"La normativa se refiere a la designación de apoderados de grupo empresarial para efectos de comunicación y coordinación con el SII en materia de colaboración y fiscalización tributaria, sin abordar directamente temas relacionados con boletas, comprobantes electrónicos, registros de compra o venta, medios de pago electrónicos, POS, comercio electrónico o PSP. Tampoco modifica procesos generales de cumplimiento tributario automatizado aplicables a fintech en los temas definidos. Por lo tanto, no cumple reglas de negocio para ser considerada relevante.",Falso Negativo,gpt4_1_mini_knn1
